,low_z,high_z,u-g,g-r,r-i,i-z,z-y
27,1.35,1.4,0.09300000220537186,0.3799999952316284,0.07800000160932541,0.03999999910593033,-0.201
28,1.4,1.45,0.14900000393390656,0.3140000104904175,0.13899999856948853,0.04899999871850014,-0.249
29,1.45,1.5,0.23199999332427979,0.2619999945163727,0.2199999988079071,0.028999999165534973,-0.264
30,1.5,1.55,0.3310000002384186,0.22200000286102295,0.2619999945163727,0.020999999716877937,-0.318
31,1.55,1.6,0.3619999885559082,0.18000000715255737,0.2759999930858612,0.039000000804662704,-0.316
32,1.6,1.65,0.3409999907016754,0.1550000011920929,0.2930000126361847,0.04500000178813934,-0.306
33,1.65,1.7,0.3050000071525574,0.12800000607967377,0.30300000309944153,0.05900000035762787,-0.317
34,1.7,1.75,0.2759999930858612,0.11100000143051147,0.3100000023841858,0.06499999761581421,-0.271
35,1.75,1.8,0.2290000021457672,0.08799999952316284,0.3319999873638153,0.057999998331069946,-0.275
36,1.8,1.85,0.1979999989271164,0.09700000286102295,0.33899998664855957,0.05299999937415123,-0.253
37,1.85,1.9,0.18000000715255737,0.10100000351667404,0.3310000002384186,0.07999999821186066,-0.253
38,1.9,1.95,0.16899999976158142,0.09700000286102295,0.28999999165534973,0.14000000059604645,-0.278
39,1.95,2.0,0.20499999821186066,0.11299999803304672,0.23600000143051147,0.2029999941587448,-0.29
40,2.0,2.05,0.22100000083446503,0.12600000202655792,0.20499999821186066,0.2540000081062317,-0.317
41,2.05,2.1,0.27300000190734863,0.1379999965429306,0.17399999499320984,0.2809999883174896,-0.301
42,2.1,2.15,0.37599998712539673,0.14399999380111694,0.14900000393390656,0.2939999997615814,-0.296
43,2.15,2.2,0.492000013589859,0.1120000034570694,0.1340000033378601,0.29899999499320984,-0.301
44,2.2,2.25,0.6190000176429749,0.09399999678134918,0.11400000005960464,0.29600000381469727,-0.284
45,2.25,2.3,0.7009999752044678,0.0820000022649765,0.10100000351667404,0.296999990940094,-0.272
46,2.3,2.35,0.7519999742507935,0.0729999989271164,0.08399999886751175,0.29600000381469727,-0.259
47,2.35,2.4,0.7739999890327454,0.08500000089406967,0.06800000369548798,0.30399999022483826,-0.252
48,2.4,2.45,0.7620000243186951,0.11100000143051147,0.0430000014603138,0.3089999854564667,-0.229
49,2.45,2.5,0.7429999709129333,0.1469999998807907,0.03099999949336052,0.3050000071525574,-0.173
50,2.5,2.55,0.7490000128746033,0.1599999964237213,0.029999999329447746,0.29899999499320984,-0.13
51,2.55,2.6,0.7850000262260437,0.16599999368190765,0.032999999821186066,0.2879999876022339,-0.08
52,2.6,2.65,0.8479999899864197,0.17499999701976776,0.03400000184774399,0.257999986410141,-0.055
53,2.65,2.7,0.925000011920929,0.18799999356269836,0.03500000014901161,0.21799999475479126,-0.04
54,2.7,2.75,1.0460000038146973,0.2070000022649765,0.05400000140070915,0.19099999964237213,-0.032
55,2.75,2.8,1.187000036239624,0.21899999678134918,0.050999999046325684,0.16899999976158142,-0.013
56,2.8,2.85,1.3339999914169312,0.2329999953508377,0.057999998331069946,0.14399999380111694,-0.015
57,2.85,2.9,1.4500000476837158,0.2409999966621399,0.06499999761581421,0.12800000607967377,-0.077
58,2.9,2.95,1.6549999713897705,0.26100000739097595,0.0729999989271164,0.10899999737739563,-0.08
59,2.95,3.0,1.7580000162124634,0.2709999978542328,0.05400000140070915,0.11299999803304672,-0.094
60,3.0,3.05,1.8739999532699585,0.28200000524520874,0.050999999046325684,0.10599999874830246,-0.088
